ID,Gender,Car_Owner,Prop_Owner,Children,Income,Income_Type,Education,Marital_Status,Housing_Type,Age_In_Years,Employed_In_Years,Family_Size,label
5125299,0,0,1,0,148500.0,1,4,1,1,57.0,-0.0,2,1
5125708,0,1,1,0,135000.0,3,3,1,1,45.0,2.0,2,1
5125761,1,0,1,0,270000.0,0,4,3,2,49.0,4.0,1,1
5125763,1,1,0,1,135000.0,0,4,3,1,36.0,4.0,3,1
5125934,0,0,1,2,135000.0,0,3,0,5,27.0,5.0,4,1
5135344,1,0,1,0,112500.0,0,1,1,1,55.0,2.0,2,1
5135485,0,0,1,0,135000.0,2,1,3,2,29.0,5.0,1,1
5135636,1,1,1,0,195750.0,3,4,1,1,52.0,3.0,2,1
5135990,0,0,1,1,585000.0,0,1,3,1,29.0,2.0,2,1
5142184,1,1,1,2,450000.0,0,1,1,1,49.0,12.0,4,1
5142361,1,1,1,1,112500.0,3,4,1,1,44.0,3.0,3,1
5142456,0,0,0,0,67500.0,0,1,2,1,52.0,1.0,1,1
5142458,0,0,1,0,67500.0,0,1,2,1,52.0,1.0,1,1
5143342,1,0,0,1,216000.0,3,4,1,2,35.0,7.0,3,1
5145690,0,0,1,0,306000.0,1,1,1,1,59.0,-0.0,2,1
5145817,0,0,1,0,90000.0,1,4,1,1,60.0,-0.0,2,1
5146005,1,1,1,0,225000.0,3,4,3,1,28.0,1.0,1,1
5146079,0,0,1,1,108000.0,3,4,1,1,35.0,3.0,3,1
5146167,0,0,1,0,135000.0,3,4,1,1,56.0,5.0,2,1
5146444,0,0,1,0,135000.0,3,4,4,1,39.0,3.0,1,1
5148932,1,1,0,0,108000.0,3,4,1,3,47.0,3.0,2,1
5149188,1,1,0,1,450000.0,3,1,1,1,27.0,1.0,3,1
5149828,1,1,1,0,315000.0,3,4,1,1,48.0,7.0,2,1
5149834,0,0,1,0,157500.0,0,1,1,1,34.0,4.0,2,1
5149838,0,0,1,0,157500.0,1,1,1,1,34.0,4.0,2,1
5118538,0,0,1,1,81000.0,3,4,1,2,43.0,17.0,3,0
5069057,1,1,0,0,225000.0,0,4,1,1,49.0,7.0,2,0
5066689,0,0,1,0,180000.0,0,1,0,1,35.0,1.0,2,0
5086062,0,0,1,0,135000.0,2,4,1,1,56.0,26.0,2,0
5113717,0,0,0,1,135000.0,3,4,1,1,45.0,8.0,3,0
5066765,0,0,1,1,63000.0,0,4,1,1,40.0,8.0,3,0
5105227,0,0,1,0,135000.0,3,4,1,1,48.0,6.0,2,0
5054648,0,0,1,0,112500.0,1,4,3,1,66.0,-0.0,1,0
5067187,0,0,1,0,112500.0,3,1,1,1,31.0,2.0,2,0
5105818,0,0,1,0,45000.0,1,4,1,1,60.0,-0.0,2,0
5125478,0,0,1,0,202500.0,1,4,1,1,57.0,-0.0,2,0
5046340,1,0,1,1,180000.0,3,3,1,1,29.0,5.0,3,0
5022326,1,1,1,0,256500.0,0,1,1,1,59.0,5.0,2,0
5065764,0,0,1,0,90000.0,3,4,3,1,40.0,2.0,1,0
5067849,0,0,1,0,180000.0,0,4,3,1,40.0,2.0,1,0
5097169,0,0,0,0,90000.0,0,4,3,1,29.0,2.0,1,0
5048583,0,0,1,0,135000.0,1,4,1,1,59.0,-0.0,2,0
5115566,1,0,1,0,126000.0,1,4,1,4,45.0,-0.0,2,0
5052722,0,0,0,0,126000.0,1,4,1,1,60.0,-0.0,2,0
5067723,0,0,1,1,337500.0,3,0,3,1,34.0,8.0,2,0
5056077,1,1,1,0,90000.0,3,4,1,1,33.0,4.0,2,0
5022275,1,1,1,0,131400.0,1,4,1,1,65.0,-0.0,2,0
5143016,1,0,0,0,180000.0,0,4,0,4,40.0,9.0,2,0
5066709,0,0,1,0,247500.0,1,4,4,1,67.0,-0.0,1,0
5021445,0,0,1,0,121500.0,3,4,1,5,36.0,14.0,2,0
5053592,0,0,1,1,117000.0,3,3,4,1,48.0,8.0,2,0
5116163,0,0,1,2,90000.0,3,4,1,1,27.0,1.0,4,0
5041273,1,0,1,0,445500.0,0,1,2,1,53.0,7.0,1,0
5125399,1,1,0,0,112500.0,3,4,1,1,28.0,2.0,2,0
5067345,0,1,0,0,180000.0,0,4,1,1,45.0,3.0,2,0
5053711,0,1,0,2,157500.0,0,2,1,1,35.0,4.0,4,0
5096234,0,0,0,0,117000.0,3,4,1,1,47.0,20.0,2,0
5125158,1,0,1,1,234000.0,3,4,1,1,33.0,5.0,3,0
5062688,1,1,1,0,247500.0,2,4,1,2,55.0,2.0,2,0
5105685,0,0,1,2,144000.0,3,4,1,1,39.0,8.0,4,0
5115984,1,1,1,2,180000.0,3,1,1,1,36.0,7.0,4,0
5065363,0,0,1,1,216000.0,3,1,3,1,29.0,5.0,2,0
5140074,0,0,1,0,90000.0,0,4,1,1,41.0,1.0,2,0
5067643,0,0,1,0,171000.0,1,1,1,1,55.0,-0.0,2,0
5091963,1,1,0,0,180000.0,3,4,1,2,52.0,4.0,2,0
5053637,0,0,0,0,225000.0,1,1,2,1,60.0,-0.0,1,0
5067149,1,0,0,2,225000.0,3,2,1,1,38.0,1.0,4,0
5096424,1,1,0,0,270000.0,0,1,2,1,32.0,6.0,1,0
5046283,0,0,1,0,67050.0,1,1,1,1,67.0,-0.0,2,0
5029348,1,1,1,0,270000.0,3,1,1,1,30.0,1.0,2,0
5096061,0,0,0,2,73350.0,3,4,1,1,39.0,19.0,4,0
5028917,0,1,1,0,112500.0,3,4,1,1,47.0,5.0,2,0
5117778,0,1,0,0,144000.0,3,4,4,1,39.0,4.0,1,0
5095310,0,1,1,0,225000.0,3,1,1,1,34.0,10.0,2,0
5050655,0,0,0,0,112500.0,3,4,1,1,40.0,3.0,2,0
5033817,0,1,0,1,292500.0,2,1,1,1,44.0,7.0,3,0
5052963,1,1,1,0,135000.0,0,4,1,1,27.0,7.0,2,0
5113159,1,1,1,0,157500.0,0,4,3,2,27.0,6.0,1,0
5132800,0,0,1,0,157500.0,3,4,2,1,51.0,4.0,1,0
5090549,0,0,1,0,157500.0,3,4,1,1,42.0,7.0,2,0
5054522,0,1,1,1,135000.0,3,1,1,1,27.0,6.0,3,0
5051061,0,0,0,2,112500.0,0,4,1,1,33.0,4.0,4,0
5010707,1,1,0,0,202500.0,3,4,1,1,43.0,14.0,2,0
5028984,0,0,1,0,193500.0,3,4,2,1,52.0,6.0,1,0
5126034,0,1,1,0,108000.0,3,4,2,1,47.0,3.0,1,0
5090470,1,0,1,1,900000.0,3,4,1,1,42.0,12.0,3,0
5021775,0,0,1,0,292500.0,0,1,0,1,40.0,4.0,2,0
5046415,1,1,1,0,270000.0,3,1,1,1,40.0,4.0,2,0
5065606,1,1,0,0,270000.0,1,1,1,1,64.0,-0.0,2,0
5117314,1,0,1,1,292500.0,3,4,1,1,46.0,5.0,3,0
5009195,0,0,0,0,292500.0,2,4,1,1,57.0,24.0,2,0
5139548,0,1,1,2,157500.0,0,1,1,1,37.0,17.0,4,0
5096416,0,0,0,0,76500.0,3,4,1,1,46.0,0.0,2,0
5042286,0,0,1,0,157500.0,3,4,3,1,30.0,3.0,1,0
5050729,1,1,0,0,180000.0,3,4,3,5,23.0,1.0,1,0
5038897,0,0,1,0,135000.0,1,4,1,1,63.0,-0.0,2,0
5050973,0,0,0,1,112500.0,2,4,3,1,44.0,21.0,2,0
5044935,1,0,1,2,360000.0,2,1,1,1,44.0,15.0,4,0
5113539,0,0,1,0,157500.0,3,4,1,1,57.0,5.0,2,0
5085990,0,1,1,0,225000.0,1,4,1,1,59.0,-0.0,2,0
5033452,0,0,0,0,112500.0,3,4,1,1,52.0,15.0,2,0
5051240,0,1,0,0,121500.0,1,4,3,1,64.0,-0.0,1,0
5065335,1,0,1,0,202500.0,0,3,1,4,27.0,5.0,2,0
5145978,0,1,0,0,112500.0,2,4,4,1,54.0,16.0,1,0
5105614,0,1,1,2,135000.0,3,1,1,1,34.0,1.0,4,0
5038845,0,0,1,0,103500.0,0,4,1,1,47.0,4.0,2,0
5105556,0,0,1,0,157500.0,3,4,1,1,54.0,12.0,2,0
5028383,1,1,0,0,337500.0,3,4,3,5,31.0,9.0,1,0
5009980,0,1,1,0,180000.0,2,4,1,1,57.0,11.0,2,0
5062075,0,0,1,0,112500.0,1,4,1,1,59.0,-0.0,2,0
5009706,0,0,0,0,157500.0,3,1,1,1,32.0,1.0,2,0
5146463,1,1,0,0,360000.0,2,1,1,1,27.0,5.0,2,0
5112662,0,0,0,1,135000.0,0,4,1,1,34.0,2.0,3,0
5096796,1,1,1,0,337500.0,3,1,2,1,36.0,2.0,1,0
5066843,0,0,1,0,135000.0,1,4,1,1,47.0,-0.0,2,0
5066597,0,0,0,1,360000.0,0,1,0,1,41.0,5.0,3,0
5009074,0,1,1,1,450000.0,2,1,1,1,49.0,2.0,3,0
5090954,0,0,0,0,270000.0,2,4,2,1,53.0,34.0,1,0
5143019,1,0,0,0,270000.0,3,4,1,5,32.0,2.0,2,0
5118617,0,0,0,0,270000.0,0,1,3,1,43.0,14.0,1,0
5116018,0,1,1,0,450000.0,1,1,4,1,61.0,-0.0,1,0
5139662,0,0,1,0,157500.0,1,3,1,1,64.0,-0.0,2,0
5042232,0,0,1,0,112500.0,0,4,3,1,35.0,17.0,1,0
5125317,1,1,0,0,292500.0,0,4,1,1,57.0,7.0,2,0
5068038,0,0,0,0,112500.0,2,4,1,5,47.0,26.0,2,0
5038814,0,0,1,0,247500.0,0,4,1,1,53.0,2.0,2,0
5095356,0,0,0,0,157500.0,3,4,3,5,25.0,3.0,1,0
5037266,1,1,0,0,225000.0,3,4,3,1,33.0,4.0,1,0
5052865,0,0,1,0,94500.0,0,2,1,1,38.0,9.0,2,0
5096211,1,0,0,0,81000.0,3,4,0,1,39.0,0.0,2,0
5023280,0,1,1,0,180000.0,0,4,1,1,46.0,7.0,2,0
5132340,0,0,1,2,198000.0,0,2,2,1,43.0,8.0,3,0
5136012,0,0,0,3,180000.0,3,1,1,1,37.0,19.0,5,0
5045917,1,1,1,0,315000.0,0,4,1,4,47.0,6.0,2,0
5041073,0,0,1,0,67500.0,3,4,3,1,50.0,1.0,2,0
5149660,0,0,1,1,180000.0,0,4,0,1,33.0,8.0,3,0
5022756,0,0,0,1,202500.0,0,4,2,1,30.0,9.0,2,0
5036562,0,0,0,1,112500.0,3,4,1,1,33.0,14.0,3,0
5117754,1,1,0,0,306000.0,3,4,1,1,44.0,5.0,2,0
5125281,0,0,1,1,90000.0,3,4,1,1,45.0,10.0,3,0
5149039,0,0,1,2,270000.0,0,1,0,1,30.0,10.0,4,0
5021267,0,1,1,1,270000.0,3,4,1,1,40.0,13.0,3,0
5125524,1,0,0,2,171000.0,3,4,1,2,38.0,16.0,4,0
5010089,0,0,0,0,225000.0,0,4,1,1,28.0,5.0,2,0
5126457,0,0,0,0,94500.0,3,1,1,1,46.0,1.0,2,0
5142763,0,0,0,0,117000.0,0,4,3,5,27.0,1.0,1,0
5023261,1,1,1,0,180000.0,0,4,1,1,58.0,5.0,2,0
5090861,0,1,1,0,202500.0,0,4,1,1,54.0,6.0,2,0
5146123,0,0,0,0,54000.0,1,4,3,1,55.0,-0.0,1,0
5023410,0,0,1,0,112500.0,1,4,1,1,59.0,-0.0,2,0
5010032,1,1,1,0,85500.0,1,4,1,1,61.0,-0.0,2,0
5118397,1,0,0,0,135000.0,3,4,1,1,47.0,5.0,2,0
5033628,0,0,1,0,166500.0,2,1,1,1,65.0,37.0,2,0
5069399,1,0,1,0,157500.0,3,4,3,1,23.0,4.0,1,0
5008889,0,0,1,0,247500.0,0,1,2,4,47.0,4.0,1,0
5022041,1,0,1,0,180000.0,3,4,1,1,28.0,4.0,2,0
5126124,0,1,0,0,72000.0,3,4,1,1,42.0,1.0,2,0
5023563,0,0,1,0,202500.0,3,4,4,1,49.0,27.0,1,0
5050853,1,0,0,0,180000.0,0,1,3,1,26.0,4.0,1,0
5024412,1,1,0,0,270000.0,3,1,1,1,51.0,14.0,2,0
5090612,0,1,0,0,202500.0,3,1,1,1,38.0,8.0,2,0
5028274,0,1,0,2,360000.0,3,2,1,1,35.0,6.0,4,0
5028996,1,1,1,0,270000.0,3,1,1,1,34.0,1.0,2,0
5126322,0,0,0,0,270000.0,3,4,1,1,49.0,5.0,2,0
5053610,0,0,1,0,112500.0,3,4,1,2,56.0,10.0,2,0
5137401,0,0,0,0,157500.0,3,1,2,1,47.0,8.0,1,0
5142812,1,1,0,0,202500.0,2,4,1,1,32.0,12.0,2,0
5053114,0,0,1,0,99000.0,1,4,1,1,65.0,-0.0,2,0
5149027,0,0,1,0,162000.0,1,4,1,1,62.0,-0.0,2,0
5145869,0,0,1,0,225000.0,1,4,2,1,57.0,-0.0,1,0
5053354,0,1,0,0,225000.0,3,4,1,1,50.0,0.0,2,0
5087944,0,0,1,0,72000.0,3,4,4,1,55.0,6.0,1,0
5035688,0,1,1,0,135000.0,3,4,0,1,45.0,23.0,2,0
5068491,1,0,0,1,315000.0,0,1,1,1,50.0,0.0,3,0
5044860,0,0,1,0,167400.0,1,4,1,1,52.0,-0.0,2,0
5117047,0,0,1,0,180000.0,1,4,4,1,63.0,-0.0,1,0
5022676,1,0,1,0,135000.0,1,4,1,1,64.0,-0.0,2,0
5009739,0,1,0,0,99000.0,3,4,1,1,40.0,12.0,2,0
5096991,0,0,1,1,225000.0,0,1,1,1,34.0,0.0,3,0
5067982,1,1,1,0,153000.0,3,1,2,5,55.0,21.0,1,0
5135982,0,0,1,0,423000.0,0,4,2,1,37.0,9.0,1,0
5046362,0,0,1,0,90000.0,3,4,0,5,39.0,0.0,2,0
5066817,0,1,0,1,360000.0,3,1,4,1,45.0,11.0,2,0
5143519,0,0,1,0,247500.0,1,4,3,1,64.0,-0.0,1,0
5068888,0,0,1,0,225000.0,3,4,1,1,64.0,13.0,2,0
5150412,0,0,1,0,67500.0,1,4,4,1,61.0,-0.0,1,0
5067924,0,0,1,0,112500.0,1,4,4,1,62.0,-0.0,1,0
5022308,0,0,1,0,90000.0,3,4,2,1,52.0,9.0,1,0
5068465,0,0,1,1,90000.0,0,4,1,1,28.0,5.0,3,0
5036881,0,1,1,0,225000.0,1,4,1,1,62.0,-0.0,2,0
5137033,1,1,0,1,112500.0,3,4,1,1,39.0,1.0,3,0
5148812,0,0,1,0,112500.0,1,4,1,1,61.0,-0.0,2,0
5100220,1,1,1,2,315000.0,0,4,1,1,42.0,17.0,4,0
5078842,0,1,1,1,135000.0,3,4,1,5,29.0,0.0,3,0
5010526,1,1,1,1,450000.0,3,1,1,3,51.0,7.0,3,0
5105150,0,0,1,0,90000.0,3,1,1,1,52.0,5.0,2,0
5045253,0,0,1,1,270000.0,3,4,1,1,57.0,10.0,3,0
5100000,0,0,0,1,180000.0,0,4,1,1,42.0,9.0,3,0
5029725,0,0,1,1,135000.0,0,1,1,1,27.0,8.0,3,0
5090925,0,0,1,0,243000.0,0,4,1,5,47.0,9.0,2,0
5115947,1,1,1,0,225000.0,3,4,3,1,26.0,3.0,1,0
5028572,0,0,1,0,112500.0,1,1,1,1,60.0,-0.0,2,0
5022373,0,0,1,1,234000.0,3,4,3,1,57.0,22.0,2,0
5149040,0,0,1,0,180000.0,3,4,0,1,54.0,10.0,2,0
5113291,0,1,1,2,121500.0,3,2,1,1,31.0,0.0,4,0
5139951,0,1,1,0,121500.0,2,4,1,1,55.0,9.0,2,0
5028697,1,1,0,1,270000.0,3,1,1,4,30.0,1.0,3,0
5148527,0,0,1,0,180000.0,1,4,1,1,64.0,-0.0,2,0
5009443,0,0,0,0,90000.0,2,4,1,1,26.0,5.0,2,0
5096621,0,0,0,1,135000.0,3,4,1,1,40.0,4.0,3,0
5149150,1,1,1,0,247500.0,3,4,1,1,30.0,10.0,2,0
5118448,0,0,0,1,76500.0,3,4,1,1,28.0,2.0,3,0
5116818,1,0,1,0,85500.0,2,4,2,0,45.0,24.0,1,0
5022833,1,1,1,0,202500.0,3,4,1,1,47.0,4.0,2,0
5086006,0,0,1,0,157500.0,1,4,4,1,59.0,-0.0,1,0
5010397,0,1,1,1,225000.0,3,1,1,1,39.0,4.0,3,0
5047789,0,1,1,0,225000.0,0,1,1,1,29.0,3.0,2,0
5105657,0,1,1,2,540000.0,3,1,3,1,39.0,1.0,3,0
5150047,0,0,1,0,283500.0,3,4,1,1,49.0,2.0,2,0
5035791,0,1,1,0,90000.0,1,4,4,1,60.0,-0.0,1,0
5088699,0,1,1,0,252000.0,3,4,1,1,48.0,3.0,2,0
5115797,0,0,1,1,135000.0,0,4,3,1,40.0,20.0,2,0
5023460,0,1,1,0,315000.0,1,4,3,1,58.0,-0.0,1,0
5096466,1,1,0,1,450000.0,3,1,1,1,53.0,15.0,3,0
5146472,0,1,1,0,180000.0,0,1,0,1,39.0,10.0,2,0
5024527,0,0,1,0,270000.0,1,4,4,1,57.0,-0.0,1,0
5068156,1,1,1,0,180000.0,3,4,1,1,54.0,9.0,2,0
5066507,0,0,1,0,157500.0,3,4,3,1,48.0,21.0,1,0
5143164,0,0,0,2,180000.0,0,4,1,1,38.0,4.0,4,0
5088834,0,0,1,0,612000.0,2,4,1,1,34.0,10.0,2,0
5023059,1,1,1,1,112500.0,3,4,1,1,31.0,1.0,3,0
5135574,0,1,1,0,180000.0,3,4,1,1,32.0,3.0,2,0
5009053,0,0,1,2,202500.0,3,1,1,1,30.0,6.0,4,0
5028292,0,0,1,0,292500.0,3,1,2,1,54.0,35.0,1,0
5029108,1,1,0,1,315000.0,2,4,1,1,36.0,10.0,3,0
5091400,0,0,0,0,135000.0,3,4,1,5,34.0,2.0,2,0
5050768,0,0,0,2,337500.0,3,4,1,1,30.0,6.0,4,0
5113420,0,0,0,1,157500.0,3,4,3,2,35.0,15.0,2,0
5113132,0,1,1,0,360000.0,0,4,1,1,52.0,10.0,2,0
5062670,0,1,1,1,135000.0,3,1,1,1,41.0,12.0,3,0
5105067,1,0,1,0,157500.0,3,2,1,1,37.0,1.0,2,0
5143573,1,1,0,0,157500.0,3,2,1,5,25.0,3.0,2,0
5045203,0,1,1,0,139500.0,1,4,1,1,58.0,-0.0,2,0
5065673,0,0,0,0,135000.0,3,4,3,1,32.0,13.0,1,0
5029544,0,1,1,1,133650.0,0,4,1,1,40.0,5.0,3,0
5045800,1,1,1,1,427500.0,3,4,1,1,33.0,7.0,3,0
5111159,0,1,1,1,81000.0,3,1,1,1,29.0,4.0,3,0
5099957,0,1,1,1,225000.0,0,1,1,1,31.0,1.0,3,0
5143360,0,0,1,0,126000.0,3,4,1,1,62.0,6.0,2,0
5091753,1,1,0,2,135000.0,3,1,1,1,35.0,4.0,4,0
5117403,0,0,0,0,94500.0,3,4,1,1,46.0,4.0,2,0
5149319,0,1,1,1,180000.0,3,1,2,1,52.0,16.0,2,0
5137542,0,0,0,0,157500.0,3,4,1,1,52.0,9.0,2,0
5095170,1,1,1,0,252000.0,0,1,1,1,38.0,7.0,2,0
5090780,0,0,0,1,202500.0,3,4,1,1,33.0,9.0,3,0
5092242,0,0,0,0,117000.0,3,4,1,1,57.0,6.0,2,0
5068671,1,0,1,0,247500.0,3,2,1,1,25.0,1.0,2,0
5143427,0,0,1,0,180000.0,1,4,3,1,64.0,-0.0,1,0
5087994,1,1,1,1,180000.0,0,2,0,1,43.0,18.0,3,0
5052739,0,0,1,2,180000.0,0,4,1,1,29.0,1.0,4,0
5068747,0,0,0,0,157500.0,3,1,0,5,36.0,1.0,2,0
5025029,0,0,0,0,135000.0,1,4,1,1,55.0,-0.0,2,0
5022571,1,1,1,0,202500.0,1,1,1,1,60.0,-0.0,2,0
5024578,0,0,0,1,90000.0,3,4,1,5,28.0,4.0,3,0
5058405,1,1,1,0,247500.0,3,1,1,1,35.0,7.0,2,0
5041869,1,1,0,0,99000.0,2,4,1,1,53.0,1.0,2,0
5115894,1,1,0,0,247500.0,0,4,1,1,48.0,4.0,2,0
5062749,1,1,0,1,202500.0,2,1,1,1,37.0,7.0,3,0
5045611,0,0,1,2,90000.0,3,4,1,1,32.0,2.0,4,0
5053003,0,1,1,0,157500.0,3,2,1,1,26.0,4.0,2,0
5118038,0,0,0,2,121500.0,3,1,1,1,32.0,2.0,4,0
5091405,0,0,1,0,135000.0,3,4,3,1,48.0,5.0,1,0
5137022,0,0,0,0,180000.0,2,4,4,1,50.0,1.0,1,0
5117594,0,0,0,0,144000.0,3,4,3,1,46.0,20.0,1,0
5085704,1,1,1,0,126000.0,1,4,1,1,53.0,-0.0,2,0
5137292,1,1,0,1,225000.0,3,4,1,1,42.0,20.0,3,0
