city,country,state
Chiang Mai,Thailand,Chiang Mai
Doha,Qatar,Ad DawHah
Maputo,Mozambique,Maputo
Mbandaka,Congo (Kinshasa),equateur
Pikine,Senegal,Dakar
Medina,Saudi Arabia,Al Madinah al Munawwarah
Srinagar,India,Jammu and Kashmir
Omsk,Russia,Omskaya Oblast’
Dublin,Ireland,Dublin
Liaoyuan,China,Jilin
Cilacap,Indonesia,Jawa Tengah
Yingtan,China,Jiangxi
Bandar Lampung,Indonesia,Lampung
Samara,Russia,Samarskaya Oblast’
Guankou,China,Hunan
Ulsan,South Korea,Ulsan
Dhanbad,India,Jharkhand
Dingzhou,China,Hebei
Lianyuan,China,Hunan
Rongcheng,China,Hubei
Kaiyuan,China,Henan
Nay Pyi Taw,Myanmar,Nay Pyi Taw
Zhuji,China,Zhejiang
Kigali,Rwanda,Kigali
Bukavu,Congo (Kinshasa),Sud-Kivu
Leiyang,China,Hunan
Bafoussam,Cameroon,Ouest
Yichun,China,Heilongjiang
Benin City,Nigeria,Edo
Rostov,Russia,Rostovskaya Oblast’
Xiantao,China,Hubei
Amritsar,India,Punjab
Callao,Peru,Callao
Salt Lake City,United States,Utah
Aligarh,India,Uttar Pradesh
Shagamu,Nigeria,Ogun
Yingchuan,China,Henan
Ciudad Nezahualcoyotl,Mexico,Mexico
Tbilisi,Georgia,Tbilisi
Guwahati,India,Assam
Ufa,Russia,Bashkortostan
Fes,Morocco,Fès-Meknès
Sao Luis,Brazil,Maranhao
Bien Hoa,Vietnam,Dong Nai
Sevilla,Spain,Andalusia
N'Djamena,Chad,N’Djamena
Mexicali,Mexico,Baja California
Nezahualcoyotl,Mexico,Mexico
Ikare,Nigeria,Ondo
Nashville,United States,Tennessee
Tamale,Ghana,Northern
Xibeijie,China,Gansu
Yuyao,China,Zhejiang
Haora,India,West Bengal
Hanchuan,China,Hubei
Gongzhuling,China,Jilin
Krasnoyarsk,Russia,Krasnoyarskiy Kray
Cologne,Germany,North Rhine-Westphalia
Bujumbura,Burundi,Bujumbura Mairie
Bishkek,Kyrgyzstan,Bishkek
Zhufeng,China,Shandong
Sao Goncalo,Brazil,Rio de Janeiro
Yerevan,Armenia,Yerevan
Ezhou,China,Hubei
Nur-Sultan,Kazakhstan,
Tongjin,South Korea,Gyeonggi
Nouakchott,Mauritania,Nouakchott Ouest
Xiashi,China,Zhejiang
Ranchi,India,Jharkhand
Taixing,China,Jiangsu
Vereeniging,South Africa,Gauteng
Gwalior,India,Madhya Pradesh
Zhongwei,China,Ningxia
Goyang,South Korea,Gyeonggi
Oslo,Norway,Oslo
Vijayawada,India,Andhra Pradesh
Chandigarh,India,Chandigarh
Edmonton,Canada,Alberta
Sendai,Japan,Miyagi
Raleigh,United States,North Carolina
Mizhou,China,Shandong
Tunis,Tunisia,Tunis
Xishan,China,Hunan
Barquisimeto,Venezuela,Lara
Hegang,China,Heilongjiang
Voronezh,Russia,Voronezhskaya Oblast’
Perm,Russia,Permskiy Kray
Changwon,South Korea,Gyeongnam
Fangchenggang,China,Guangxi
Shouguang,China,Shandong
Bogor,Indonesia,Jawa Barat
Cartagena,Colombia,Bolivar
Matola,Mozambique,Maputo
Jodhpur,India,Rajasthan
Memphis,United States,Tennessee
Ogbomoso,Nigeria,Oyo
Rangapukur,Bangladesh,Rangpur
Managua,Nicaragua,Managua
Sanya,China,Hainan
Shymkent,Kazakhstan,
Wutong,China,Zhejiang
Niamey,Niger,Niamey
Shubra al Khaymah,Egypt,Al Qalyubiyah
Linhai,China,Zhejiang
Denizli,Turkey,Denizli
Maceio,Brazil,Alagoas
Monrovia,Liberia,Montserrado
Wafangdian,China,Liaoning
Zhongxiang,China,Hubei
Louisville,United States,Kentucky
Odesa,Ukraine,Odeska Oblast
Thu Duc,Vietnam,Ho Chi Minh
Volgograd,Russia,Volgogradskaya Oblast’
Islamabad,Pakistan,Islamabad
Port-au-Prince,Haiti,Ouest
Xinyi,China,Guangdong
Raipur,India,Chhattisgarh
Arequipa,Peru,Arequipa
Richmond,United States,Virginia
Zaoyang,China,Hubei
Buffalo,United States,New York
Shuizhai,China,Henan
Xingyi,China,Guizhou
Kota,India,Rajasthan
Quetta,Pakistan,Balochistan
Kathmandu,Nepal,
Ottawa,Canada,Ontario
Lilongwe,Malawi,Lilongwe
Asmara,Eritrea,Ma’ikel
Freetown,Sierra Leone,Western Area
Vientiane,Laos,Viangchan
Jerusalem,Israel,Jerusalem
Riga,Latvia,Riga
Bangui,Central African Republic,Bangui
Dushanbe,Tajikistan,Dushanbe
Lome,Togo,Maritime
Ashgabat,Turkmenistan,Asgabat
Zagreb,Croatia,"Zagreb, Grad"
Libreville,Gabon,Estuaire
Cotonou,Benin,Littoral
Pretoria,South Africa,Gauteng
Vilnius,Lithuania,Vilniaus Miestas
Winnipeg,Canada,Manitoba
Quebec City,Canada,Quebec
Chisinau,Moldova,Chisinau
Port Moresby,Papua New Guinea,National Capital
Skopje,Macedonia,Skopje
Djibouti,Djibouti,Djibouti
Gaza,Gaza Strip,
Kingston,Jamaica,Kingston
Rabat,Morocco,Rabat-Sale-Kenitra
San Salvador,El Salvador,San Salvador
The Hague,Netherlands,Zuid-Holland
Asuncion,Paraguay,Asuncion
Juba,South Sudan,Central Equatoria
Maseru,Lesotho,Maseru
Bissau,Guinea-Bissau,Bissau
Valletta,Malta,Valletta
Bratislava,Slovakia,Bratislava
Kitchener,Canada,Ontario
Manama,Bahrain,Al ‘asimah
Tallinn,Estonia,Tallinn
Beirut,Lebanon,Beyrouth
Cape Town,South Africa,Western Cape
Tirana,Albania,Tirane
Sarajevo,Bosnia and Herzegovina,"Bosnia and Herzegovina, Federation of"
Wellington,New Zealand,Wellington
Banjul,The Gambia,Banjul
Halifax,Canada,Nova Scotia
Canberra,Australia,Australian Capital Territory
Yamoussoukro,Cote d'Ivoire,Yamoussoukro
Victoria,Canada,British Columbia
Nicosia,Cyprus,Lefkosia
Windhoek,Namibia,Khomas
Saint-Denis,Reunion,
Porto-Novo,Benin,Oueme
Sucre,Bolivia,Chuquisaca
Ljubljana,Slovenia,Ljubljana
Nassau,The Bahamas,
Bloemfontein,South Africa,Free State
Fort-de-France,Martinique,
New Delhi,India,Delhi
Gaborone,Botswana,Gaborone
Paramaribo,Suriname,Paramaribo
Dili,Timor-Leste,Dili
Dodoma,Tanzania,Dodoma
Georgetown,Guyana,Demerara-Mahaica
Gibraltar,Gibraltar,
Malabo,Equatorial Guinea,Bioko Norte
Suva,Fiji,Rewa
Noumea,New Caledonia,Province Sud
Pristina,Kosovo,Prishtine
Male,Maldives,Maale
Port Louis,Mauritius,Port Louis
Podgorica,Montenegro,Podgorica
Willemstad,Curaçao,
Bern,Switzerland,Bern
Gitega,Burundi,Gitega
Reykjavik,Iceland,Reykjavik
Luxembourg,Luxembourg,Luxembourg
Papeete,French Polynesia,Iles du Vent
Praia,Cabo Verde,Praia
Sri Jayewardenepura Kotte,Sri Lanka,Western
Bridgetown,Barbados,Saint Michael
Moroni,Comoros,Grande Comore
Thimphu,Bhutan,Thimphu
Mbabane,Swaziland,Hhohho
Honiara,Solomon Islands,Honiara
Port of Spain,Trinidad and Tobago,Port of Spain
Castries,Saint Lucia,Castries
Putrajaya,Malaysia,Putrajaya
Cayenne,French Guiana,
Sao Tome,Sao Tome and Principe,agua Grande
Port-Vila,Vanuatu,Shefa
Bandar Seri Begawan,Brunei,Brunei dan Muara
Monaco,Monaco,
Apia,Samoa,Tuamasaga
Tarawa,Kiribati,
Oranjestad,Aruba,
Saint Helier,Jersey,
Mamoudzou,Mayotte,
Majuro,Marshall Islands,Majuro
Douglas,Isle Of Man,
George Town,Cayman Islands,
Victoria,Seychelles,Mont Buxton
